Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7o2AeQZzfCERsRmOM86EcB,"Xtal","Selected Ambient Works 85-92","Aphex Twin",1992-02-10,293751,69,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:43:28Z,"idm,ambient,electronica","R&S Records",0.51,0.505,9,-13.053,0,0.0344,0.342,0.96,0.117,0.318,114.532,4
spotify:track:4Sxv0whUHWzHK5T8uuP66S,"Tha","Selected Ambient Works 85-92","Aphex Twin",1992-02-10,547133,55,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:43:38Z,"idm,ambient,electronica","R&S Records",0.599,0.406,4,-19.881,0,0.0368,0.822,0.933,0.112,0.326,134.762,4
spotify:track:6gbmylJ7sB7NFfMfTQHosf,"Alberto Balsalm","...I Care Because You Do","Aphex Twin",1995-04-24,310746,61,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:43:46Z,"idm,ambient,electronica","Warp Records",0.791,0.599,3,-13.648,1,0.145,0.315,0.928,0.111,0.57,93.988,4
spotify:track:2hcywxHZcxmX27lX5qm8MT,"Fingerbib","Richard D. James Album","Aphex Twin",1996-11-04,228866,55,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:43:50Z,"idm,ambient,electronica","Warp Records",0.619,0.564,10,-10.695,0,0.0293,0.871,0.926,0.16,0.787,131.91,4
spotify:track:409z4jUHpq7eIkg3N3FzZh,"Windowlicker","Windowlicker","Aphex Twin",1999-03-22,365640,55,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:43:55Z,"idm,ambient,electronica","Warp Records",0.696,0.775,10,-5.097,0,0.142,0.132,0.00879,0.37,0.474,123.023,4
spotify:track:0AjQvTAlYcWQ6JpJcUdsKw,"Vordhosbn","Drukqs","Aphex Twin",2001-10-22,291386,46,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:00Z,"idm,ambient,electronica","Warp Records",0.662,0.96,11,-6.619,0,0.136,0.0479,0.865,0.161,0.605,170.071,4
spotify:track:1uaGSDFsLdReQgg8p7Obwh,"Avril 14th","Drukqs","Aphex Twin",2001-10-22,125520,63,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:06Z,"idm,ambient,electronica","Warp Records",0.558,0.0259,8,-30.016,1,0.0458,0.996,0.871,0.0969,0.37,157.811,4
spotify:track:00xFfMsOn9TbRe3sZcdABm,"minipops 67 [120.2][source field mix]","Syro","Aphex Twin",2014-09-22,287586,46,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:11Z,"idm,ambient,electronica","Warp Records",0.716,0.83,4,-7.661,0,0.0394,0.284,0.887,0.067,0.126,120.194,4
spotify:track:5OyrWto6OxYrxHGm93W3fE,"Gantz Graf [Chosen by fans on Warp20.net]","Gantz Graf","Autechre",2002-08-05,233733,15,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:27Z,"idm,glitch,electronic,experimental,ambient,electroacoustic","Warp Records",0.434,0.89,1,-8.123,1,0.4,0.0113,0.872,0.323,0.396,119.469,4
spotify:track:4uRXAyNL5T4KY7iawdfJBZ,"Eutow","Tri Repetae","Autechre",1995-11-06,255933,47,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:37Z,"idm,glitch,electronic,experimental,ambient,electroacoustic","Warp Records",0.609,0.511,6,-14.289,0,0.0523,0.00329,0.904,0.19,0.0769,129.965,4
spotify:track:3nY1lMG1gqW8BCOll4XDu2,"Flutter","EPs 1991 - 2002 (Part 1)","Autechre",2011-04-11,599680,18,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:52Z,"idm,glitch,electronic,experimental,ambient,electroacoustic","Warp Records",0.372,0.616,1,-12.692,0,0.0674,0.363,0.0633,0.18,0.385,150.045,4
spotify:track:02KcdVunrltUm8qJkwfL8h,"Cichli","Chiastic Slide","Autechre",1997-02-17,532800,17,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:44:56Z,"idm,glitch,electronic,experimental,ambient,electroacoustic","Warp Records",0.465,0.942,0,-9.6,1,0.717,0.389,0.0494,0.313,0.621,76.703,4
spotify:track:0r9NLcp6718EYibVX6diWN,"My Red Hot Car","My Red Hot Car","Squarepusher",2001-05-21,259665,33,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:03Z,"idm,breakcore,glitch","Warp Records",0.751,0.704,2,-10.951,1,0.0593,0.00132,0.899,0.561,0.679,142.015,4
spotify:track:4ogHzwfR0UCxfzGZBYHyV9,"Beep Street","Hard Normal Daddy","Squarepusher",1997-04-28,397133,44,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:09Z,"idm,breakcore,glitch","Warp Records",0.5,0.821,5,-8.835,0,0.0544,0.0749,0.87,0.0849,0.595,161.442,4
spotify:track:3NS43vBFHEMeV8XJsnTr0u,"Do You Know Squarepusher","Do You Know Squarepusher","Squarepusher",2002-09-30,305533,27,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:14Z,"idm,breakcore,glitch","Warp Records",0.667,0.914,10,-11.444,0,0.0755,0.0333,0.369,0.335,0.773,160.102,4
spotify:track:6X5M4xsxrNIFL8rTQI6TLh,"Tundra 4","Venus No. 17","Squarepusher",2004-07-19,762946,8,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:18Z,"idm,breakcore,glitch","Warp Records",0.373,0.691,10,-10.055,0,0.0585,0.122,0.535,0.0824,0.0395,160.042,4
spotify:track:1DR2jBCYdRpZjxIrs6RW5Y,"Port Rhombus","Port Rhombus","Squarepusher",1996-07-01,409240,23,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:22Z,"idm,breakcore,glitch","Warp Records",0.572,0.701,6,-12.105,0,0.0735,0.465,0.877,0.1,0.724,181.051,4
spotify:track:5Hf2h59YLInKlic7ooWZVd,"Roygbiv","Music Has The Right To Children","Boards of Canada",1998-04-20,149080,56,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:28Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.661,0.616,4,-8.442,0,0.0557,0.0224,0.944,0.135,0.167,84.033,4
spotify:track:08EgS4Nqe1jPkI9tx9Dq3S,"Aquarius","Music Has The Right To Children","Boards of Canada",1998-04-20,358080,48,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:32Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.709,0.507,6,-12.19,1,0.145,0.0156,0.862,0.103,0.737,168.782,4
spotify:track:2J4lJMCuFCA0zlwFOjePD5,"Dayvan Cowboy","The Campfire Headphase","Boards of Canada",2005-10-17,300186,51,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:36Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.324,0.615,11,-10.774,1,0.0419,0.512,0.809,0.0677,0.0361,167.951,4
spotify:track:6ngx6PjG5Gy2y1WJl3epZQ,"Reach For The Dead","Tomorrow's Harvest","Boards of Canada",2013-06-10,287403,42,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:40Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.578,0.576,3,-9.782,0,0.0299,0.0245,0.917,0.116,0.0362,136.013,4
spotify:track:5DZ4M3yMat79ok25rZHuA9,"Olson","Music Has The Right To Children","Boards of Canada",1998-04-20,91706,54,false,9aafi54ja4ne2170p77fwkjj7,2026-03-03T20:45:45Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.239,0.0138,5,-32.843,0,0.029,0.937,0.916,0.13,0.0357,63.171,4
